,Word,ExpectedEntropy,IsFeasible
3875,chimo,6.42405260859357,0
886,flint,6.424202718099198,0
9105,picot,6.424759232606494,0
11306,sycon,6.424986682841338,0
11214,sulci,6.425539551268851,0
12810,yogin,6.427176154396454,0
12865,yupon,6.427683263846148,0
10901,sooky,6.429080968774073,0
10573,sieth,6.433183034444416,0
10528,shool,6.435099138417396,0
10784,smits,6.439770653932616,0
11027,spits,6.4424910812672955,0
10636,sixmo,6.447137166512771,0
11026,spiry,6.447265864553733,0
10252,saunt,6.451368164354632,0
10943,souse,6.451749356094925,0
7634,lough,6.453012352764397,0
10864,sohur,6.453602642693087,0
444,unlit,6.455706148014198,0
9599,quoin,6.457735877505439,0
8507,nitty,6.460284640059142,0
10755,sloyd,6.486399087942061,0
10022,rosit,6.489622845791323,0
8146,monty,6.492208147095044,0
8204,mouch,6.493362994253923,0
1056,pouch,6.493638205771084,0
2809,atilt,6.498275996863236,0
10746,slomo,6.5007935312891405,0
8314,myoid,6.504312819496777,0
379,smite,6.509878270983137,0
939,strut,6.510432709380531,0
1021,silly,6.510802592141905,0
551,spite,6.513204992862897,0
6572,hyoid,6.513312229665007,0
6093,guimp,6.513568156600585,0
10971,spait,6.513636979809101,0
11045,sprit,6.513636979809101,0
8155,mooly,6.515382922704886,0
8197,mothy,6.517326095884812,0
10170,saist,6.521280864713573,0
643,ditto,6.522904065665822,0
10503,ships,6.5298310967268245,0
10752,slots,6.534303920337575,0
4763,dotty,6.535385284538103,0
5452,flosh,6.540876713141916,0
553,skimp,6.542015657737863,0
2258,hound,6.547015176411274,0
10593,silos,6.549172601933901,0
7126,knish,6.551129209662663,0
11218,sulph,6.552516305391369,0
10621,sirup,6.5530853774237166,0
10326,scudi,6.5535080928848535,0
11164,stroy,6.557598410538468,0
1158,quoth,6.559353224461944,0
10560,sicko,6.5645556793844015,0
4575,dhuti,6.5657718946235395,0
1532,whiny,6.56712704080217,0
5997,gouch,6.568801789314746,0
6466,hooly,6.570385098583666,0
10594,silts,6.571145071798135,0
10327,scudo,6.5734603895671295,0
1478,shone,6.574899841067612,0
